vocab_word,baseline_prompt,vocab_with_definition_prompt,masked_vocab_word_prompt,low_context_example,high_context_example
tasting,She carefully poured a small amount of the wine into a cup and began tasting it to determine if it was ready for the party.,"The chef carefully examined the sauce by tasting it, looking for the perfect balance of flavors.","After a few bites of the tasting-tingly sour lemon, the flavors began to unfold on her palate.",a wine tasting,"a kind of sensing; distinguishing substances by means of the taste buds, a wine tasting"
penitentiary,The prisoner was sentenced to life in the maximum-security penitentiaries of the state.,The prisoners were sent to the penitentiaries in the state to serve their sentences.,"The judge imposed a penitentiary's sentence on the convicted felon, hoping it would serve as a deterrent to others who would commit similar crimes.",penitentiary institutions,"used for punishment or reform of criminals or wrongdoers, penitentiary institutions"
brilliant,"The fireworks display was truly brilliant, lighting up the entire night sky with a kaleidoscope of colors.","The fireworks exploded in the night sky, producing a brilliant display of colorful lights that lit up the entire city.",The sun was setting over the brilliant.,a brilliant star,"full of light; shining intensely, a brilliant star"
brilliant,"The fireworks exploded in a brilliant display of color and light, filling the night sky with a kaleidoscope of hues that left the crowd in awe.",The fireworks display that lit up the night sky was a truly brilliant celebration of the city's anniversary.,The ancient temple's brilliant-ous architecture and intricate carvings left many visitors in awe of its grandeur.,brilliant chandeliers,"characterized by grandeur, brilliant chandeliers"
quotable,The politician's speech was full of quotable one-liners that made her a media sensation.,The politician's quotable one-liners during the debate made her a household name.,"The teacher was impressed by the quotable's performance at the debate tournament, where she consistently delivered well-crafted, witty remarks that left the audience in stitches.",he comes up with so many quotable phrases,"able or fit to be repeated or quoted, he comes up with so many quotable phrases"
timbre,"The sound of the cello's low notes had a rich, full timbre that resonated deeply within her.",The sound of the cello in the orchestra had a rich timbre that added depth to the overall music.,The choir's timbre's resonated throughout the crowded church.,the timbre of her soprano was rich and lovely,"(music) the distinctive property of a complex sound (a voice or noise or musical sound), the timbre of her soprano was rich and lovely"
suboceanic,"The research vessel sailed through the subocean ridge, where hydrothermal vents supported a unique ecosystem teeming with giant tube worms.","The team of marine biologists studied the subocean depths of the trench, where hydrothermal vents supported a unique ecosystem.",The scuba diver descended into the dark suboceanic.,suboceanic oil resources,"formed or situated or occurring beneath the ocean or the ocean bed, suboceanic oil resources"
chomp,"The dog started to chomp down on the rawhide chew, his jaws working quickly to tear it apart.","The alligator's powerful jaws chomped down on the unsuspecting fish, causing a loud splashing sound in the water.",The baby was startled by the sound of chomp'ing loudly on the other side of the wall.,The boy chomped his sandwich,"chew noisily or vigorously, The boy chomped his sandwich"
alcoholize,"The bartender began to alcoholize the drinks, adding a splash of liquor to each one.","The brewery's process of fermentation allowed them to alcoholize the beer, which would then be aged in oak barrels to give it a rich flavor.",The brewery was going to alcoholize.,alcoholize prunes,"make alcoholic, as by fermenting, alcoholize prunes"
alcoholize,The city's water supply was contaminated with chemicals that alcoholize the local wildlife.,"The bartender began to alcoholize the freshly squeezed lemonade with a splash of rum, carefully balancing the flavors to create a unique summer cocktail.",The bartender alcoholize'ed the fruit with a splash of rum to create a festive cocktail for the holiday party.,alcoholize the fruit and let them sit in the refrigerator,"treat or infuse with alcohol, alcoholize the fruit and let them sit in the refrigerator"
doer,"The new employee was a doer, always taking initiative and getting things done efficiently.","She's a doer, always taking charge and seeing projects through to the end.",The mayor was a doer.,when you want something done get a doer,"a person who acts and gets things done, when you want something done get a doer"
valor,The soldiers' bravery in the face of danger was a testament to their valor.,The soldiers' valor in the face of the enemy's attack was a key factor in their ultimate victory.,"The firefighters rushed into the burning building, exemplifying valor.",he received a medal for valor,"the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle), he received a medal for valor"
quite,The new employee was quite nervous on his first day of work.,She was quite exhausted after hiking up the mountain for eight hours.,The company's quite-ly failed product was discontinued after only a few months on the market.,you're quite right,"to the greatest extent; completely, you're quite right"
quite,The party was quite lively last night.,She was quite pleased with the surprise party her friends threw for her.,"The teacher asked her students to submit their essays, but most of them were quite.",she was quite alone,"to a degree (not used with a negative), she was quite alone"
unbraid,"As she began to style her hair, she struggled to unbraid the long, tangled mess that had developed overnight.","She carefully began to unbraid her sister's long, tangled locks, working patiently to restore their natural texture.","She had spent hours braiding her hair, but when she got to work, she was told to unbraid.",unbraid my hair,"undo the braids of, unbraid my hair"
unpaid,"The babysitter worked for several hours, but her pay was still unpaid after the family forgot to give her a check.","The volunteers at the animal shelter were unpaid, but they were still dedicated to helping the animals.",The employee was fired because he was unpaid.,unpaid wages,"not paid, unpaid wages"
compound,A combination of different things mixed together to make something new and useful.,"The new car had a compound engine, which made it run much more efficiently than the old model.",The compound's intricate mechanisms were a marvel of modern engineering.,compound leaves are composed of several lobes,"composed of more than one part, compound leaves are composed of several lobes"
compound,"The new employee was given a compound assignment that involved working on multiple projects simultaneously, requiring her to prioritize and multitask effectively in order to meet the tight deadlines.","The perfume was a compound of lavender, vanilla, and citrus scents.",The mixture was a compound.,compound flower heads,"consisting of two or more substances or ingredients or elements or parts, compound flower heads"
attainable,The goal is to reach the attainable summit of the mountain before nightfall.,"The new employee was thrilled to learn that the company offered a tuition reimbursement program, making it more attainable for her to pursue a master's degree.","""The long hike was attainable'd by many, but only a few were able to attainable.",choose an attainable goal,"capable of being attained or accomplished, choose an attainable goal"
regally,"The king sat regally on his throne, surveying the kingdom with a stern expression.","The queen, resplendent in her golden crown and velvet cloak, rode regally through the city, waving to her adoring subjects.","The king walked regally'ly into the throne room, his crown glinting in the sunlight.",a regally appropriate representative,"in a regal manner, a regally appropriate representative"
provoking,The loud and provocative speech at the rally was so provoking that it sparked a heated argument among the crowd.,"The loud, provocative speech at the rally was met with anger and outrage from the crowd.",The teacher's provoking-filled lecture about the school's new policies left many students feeling frustrated and upset.,a provoking delay at the airport,"causing or tending to cause anger or resentment, a provoking delay at the airport"
hatch,The baby birds began to hatch from their eggs on the windowsill.,The engineer used a specialized tool to hatch a pattern of lines on the metal sheet for the prototype.,A technician used hatch's tool to create a pattern on the metal plate.,hatch the sheet,"draw, cut, or engrave lines, usually parallel, on metal, wood, or paper, hatch the sheet"
jesuit,"The Jesuit priest was known for his sharp wit and clever arguments, which often left his opponents bewildered and speechless.","The young priest was known for his rigorous academic standards and his ability to inspire his students to excel, qualities that were characteristic of the Jesuit order.","The Jesuits, a secretive and mysterious order of priests, were known for their jesuit.",Jesuitical education,"having qualities characteristic of Jesuits or Jesuitism, Jesuitical education"
acquiescence,"The new employee was hired with the acquiescence of the entire team, who felt that the company needed fresh perspectives.",The company's acquiescence to the union's demands was met with a mix of relief and skepticism from the employees.,The mayor and the city council voted acquiescence.,a murmur of acquiescence from the assembly,"agreement with a statement or proposal to do something, a murmur of acquiescence from the assembly"
unscrupulously,"The politician was known for unscrupulous business deals, and her unscr upulously aggressive campaign tactics left many voters questioning her integrity.","The politician's unscrupulous methods of raising campaign funds were exposed, and he was forced to resign from office.",The thief unscrupulously-ly stole the expensive jewels from the display case.,she unscrupulously uses her charm to make men do what she wants,"without scruples, she unscrupulously uses her charm to make men do what she wants"
ovulate,"The female rabbit is ovulating, which is why she's acting so strangely and has been avoiding the male rabbit.",The doctor explained that the fertility clinic would only accept women who were ovulating regularly in order to increase the chances of successful in vitro fertilization.,The hens ovulate'd all night.,women ovulate about once every month,"produce and discharge eggs, women ovulate about once every month"
mingle,"The guests mingled at the party, laughing and chatting with one another as they made their way through the crowded room.","The guests mingled at the party, laughing and chatting with one another as they sipped their drinks and sampled the appetizers.",The artist's mingle-ed the disparate elements of the painting to create a cohesive whole.,resourcefully he mingled music and dance,"to bring or combine together or with something else, resourcefully he mingled music and dance"
runup,The long runup to the election was filled with heated debates and inflammatory speeches.,The company's runup to the IPO was marked by a flurry of high-profile deals and a sharp increase in investor interest.,The company's stock price saw a runup.,a runup in interest rates,"a substantial increase over a relatively short period of time, a runup in interest rates"
premium,"The new car was a premium model, with leather seats and a state-of-the-art sound system.","The new restaurant in town is offering a premium dining experience, complete with a complimentary bottle of wine and a personalized chef's table.",The antique vase was a premium.,premium gasoline at a premium price,"having or reflecting superior quality or value; having a higher price or cost, premium gasoline at a premium price"
premium,The expensive resort offered a premium room with a private balcony overlooking the ocean.,The airline offered a premium to frequent flyers who booked their tickets a week in advance.,The company offered a premium's worth of free merchandise to the winner of the contest.,they encouraged customers with a premium for loyal patronage,"a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc., they encouraged customers with a premium for loyal patronage"
circus,"The kids eagerly waited for the colorful parade of acrobats, jugglers, and clowns to begin at the circus.",The children were thrilled to watch the acrobats and clowns perform in the big top tent at the traveling circus that had come to town.,"The ancient circus's crumbling stone walls stood as a testament to the glories of a bygone era, where mighty warriors once clashed in mortal combat beneath the sun-baked seats.",they used the elephants to help put up the circus,"an arena consisting of an oval or circular area enclosed by tiers of seats and usually covered by a tent, they used the elephants to help put up the circus"
circus,The children were thrilled to watch the circus performers juggle balls and ride unicycles under the big top.,The circus was a spectacle that drew large crowds to the city's main street every summer.,The circus's death-defying stunts left the audience gasping in awe.,the children always love to go to the circus,"a performance given by a traveling company of acrobats, clowns, and trained animals, the children always love to go to the circus"
put,"""She carefully put the delicate vase in the box.","The manager decided to put the new employee on the Smith account, hoping it would be a good learning experience.",The put's new software update caused the company's sales to increase dramatically.,That song put me in awful good humor,"cause to be in a certain state; cause to be in a certain relation, That song put me in awful good humor"
put,"""I carefully put the vase on the shelf.","I put the price of the new house at around $500,000.","The teacher asked the student to put-calculate the total cost of the field trip, so they could give an approximate figure to the parents.",put your ideas in writing,"estimate, put your ideas in writing"
calmly,"The manager walked calmly into the meeting room, her expression a picture of serenity.","The teacher spoke calmly to the student who was in tears, trying to reassure her that everything would be okay.","She remained calmly'ly composed during the chaotic evacuation, a beacon of calm amidst the panic.",he spoke calmly to the rioting students,"with self-possession (especially in times of stress), he spoke calmly to the rioting students"
boyishly,The actor's boyishly charming smile lit up the entire room at the premiere.,"The actor played the role of a carefree and adventurous young man boyishly, always eager to take on new challenges.","The teacher was impressed by boyishly's> ability to recite the entire script of the play from memory, and even did a few impressive dance moves to showcase their skills.",he smiled boyishly at his fiancee,"like a boy, he smiled boyishly at his fiancee"
feebly,"The fire crackled feebly in the fireplace, a faint whisper of warmth in the cold, dark room.","The old man shuffled down the sidewalk, his frail body moving feebly as he struggled to keep up with the group.","The old man feeblywalked slowly down the street, his cane tapping out a rhythmic beat on the pavement.","reform, in fact, is, rather feebly, on the win","in a halting and feeble manner, reform, in fact, is, rather feebly, on the win"
calorifacient,A new additive to the coffee shop's hot chocolate was a calorifaciant that helped to warm the drink to a perfect temperature.,"The warm, calorifacients properties of the spicy curry made it a favorite among those who enjoyed eating to stay warm on chilly evenings.",The chef was particularly proud of his new calorifacient.,calorifacient chili peppers,"producing heat; usually used of foods, calorifacient chili peppers"
indolently,"The teacher slumped in her chair, indolently flipping through her notes.","She lounged indolently on the beach, her sunglasses slipping down her nose as she watched the waves roll in.",The indolently-witted comment made by John was met with eye-rolling from his colleagues.,he lives indolently with his relatives,"in an indolent manner, he lives indolently with his relatives"
dynamite,"The hikers had to carefully navigate the trail, avoiding the large cache of dynamite that had been left behind by the previous year's mining operation.",The construction crew had to dynamite the old building to make way for a new skyscraper.,The dynamite's in the bank vault made a huge mess and a lot of noise when they were detonated by the thieves.,The rock was dynamited,"blow up with dynamite, The rock was dynamited"
shirtwaister,She had to let out the seams on her grandmother's old shirtwaister to accommodate her growing waistline.,"The fashion designer's latest collection featured a variety of elegant shirts with buttons running down the center of each, from delicate lace to bold stripes, but the showstopper was undoubtedly the vintage-inspired shirtwaister with intricate embroidery.","She pulled out her shirtwaister's zipper and adjusted the sleeves to fit her shoulders, then buttoned it up to attend the job interview.",in Britain they call a shirtwaist a shirtwaister,"a blouse with buttons down the front, in Britain they call a shirtwaist a shirtwaister"
diabolic,The sinister plot was orchestrated by the diabolic mastermind behind the scenes.,"The politician's diabolic plan to embezzle funds from the charity was exposed by the investigative journalist, causing widespread outrage and calls for his resignation.","The thief slipped in unnoticed, using her cunning to diabolic.",the cold calculation and diabolic art of some statesmen,"showing the cunning or ingenuity or wickedness typical of a devil, the cold calculation and diabolic art of some statesmen"
pursuit,The detective was in hot pursuit of the suspect who had just robbed the convenience store.,"The detective was determined to pursue the suspect through the crowded streets, but the suspect was able to evade capture by losing the detective in the maze of alleys.",The pursuit's swift movements allowed her to stay one step ahead of her pursuers.,the culprit started to run and the cop took off in pursuit,"the act of pursuing in an effort to overtake or capture, the culprit started to run and the cop took off in pursuit"
pursuit,The detective was in hot pursuit of the suspect down the crowded street.,"She had always found a sense of joy and fulfillment in the pursuit of her passion for painting, which often took her to the beach at dawn to capture the soft light and colors of the morning.","The author spent her pursuit's time watching the sunset over the ocean, completely forgetting about the deadline for her book.",they criticized the boy for his limited pursuits,"a diversion that occupies one's time and thoughts (usually pleasantly), they criticized the boy for his limited pursuits"
basaltic,The volcanic rock on the island was basaltic in composition.,The island's rugged terrain was carved out of a basaltic landscape that had been shaped by millions of years of volcanic activity.,The basaltic's unique properties make it a popular choice for decorative landscaping.,basaltic magma is fluid,"of or relating to or containing basalt, basaltic magma is fluid"
remedial,The school offers remedial classes for students who struggle with reading and math in order to help them catch up with their peers.,The school's remedial math program was designed to help students who were struggling to catch up with their peers.,The new remedial-oriented approach to waste management has resulted in a significant reduction of pollution in the community.,a remedial reading course,"tending or intended to rectify or improve, a remedial reading course"
psychopomp,The psychopomp guided the spirits of the deceased through the underworld.,"In ancient cultures, the psychopomp was often depicted as a mysterious figure guiding the deceased through a perilous underworld journey.","The ferryman of the underworld, a psychopomp's assistant, guided souls across the river Styx, ensuring their safe passage to the realm of the dead.",Hermes was their psychopomp,"a conductor of souls to the afterworld, Hermes was their psychopomp"
iridescent,The butterfly's wings shimmered with an iridescent glow as it landed delicately on the flower.,The butterfly's iridescent wings shimmered as it landed delicately on the flower.,The sky was filled with a iridescent-hued sunset that seemed to dance across the clouds.,an iridescent oil slick,"having a play of lustrous rainbow colors, an iridescent oil slick"
disparagingly,"She spoke disparagingly about the new restaurant, saying its food was a travesty and that the service was abysmal.","The politician's remarks about his opponent were made disparagingly, implying that she was not qualified for the position.","The professor lectured to her students in a disparagingly-ing tone, making it clear that he thought they were all unprepared for the exam.",these mythological figures are described disparagingly as belonging `only to a story',"in a disparaging manner, these mythological figures are described disparagingly as belonging `only to a story'"
detention,"After school, the student had to serve detention in the principal's office for being late to class.","The student was given detention after being caught talking during class, and she had to stay late to finish her homework and study for the next day's test.","The teacher assigned detentions to the students who were late to class again, and they were stuck in the library until the buses left.",the detention of tardy pupils,"a punishment in which a student must stay at school after others have gone home, the detention of tardy pupils"
unopposed,"The mayor was elected unopposed in the last election, and has been serving in the office ever since.",The city council seat was won by the unopposed candidate who ran on a platform of increased funding for local schools.,"The champion had a unopposed-match in the finals, winning every round without a single loss or challenge.",unopposed military forces,"not having opposition or an opponent, unopposed military forces"
digression,The professor's lengthy digression about the history of the university's library building made it difficult for the students to stay focused on the main topic of the lecture.,The professor's digression about the history of the university's library building was a welcome break from the dense academic material.,"She had to digression'd from her studies to help her family, but now she's back on track.",a digression into irrelevant details,"a turning aside (of your course or attention or concern), a digression into irrelevant details"
rowdily,"The crowd began to rowdily chant the team's name, drowning out the opposing team's national anthem.","The unruly crowd surged forward rowdily, knocking over chairs and shattering glasses as they pushed to the front of the concert.","The partygoers rowdily'd through the streets, disturbing the early morning peace.",the crowd got drunk and started to behave rowdily,"in a rowdy manner, the crowd got drunk and started to behave rowdily"
psychologically,The therapist had to be psychologically prepared for the traumatic stories her clients would share with her.,"The therapist spent a lot of time trying to understand her patient's psychologically fragile state, which made it difficult to develop a treatment plan.",The psychologist studied the psychologically's of various mental disorders to develop new treatments.,war that caught them in its toils either psychologically or physically,"with regard to psychology, war that caught them in its toils either psychologically or physically"
professedly,"The artist professedly admired the works of the famous painter, but her own style was quite different.","The politician professedly campaigned on a platform of reform, but critics argue that his actions were hypocritical and self-serving, suggesting that his intentions were far from pure.",The politician's <vocab > promises to the public were empty and lacked sincerity.,is only professedly poor,"with pretense or intention to deceive, is only professedly poor"
reputable,The new restaurant in town has a reputable chef who is known for his creative dishes and high-quality ingredients.,"The family's decision to choose a reputable mechanic for their car's repair was a wise one, considering the number of scams that had been reported in the neighborhood.",The politician was known for being reputable.,a reputable business,"having a good reputation, a reputable business"
search,A detective began her search for the missing evidence in the abandoned warehouse.,The detective began to search the crime scene for clues that might lead to the perpetrator.,The detective was hired to conduct a search.,a thorough search of the ledgers revealed nothing,"an investigation seeking answers, a thorough search of the ledgers revealed nothing"
search,"As she began her search for a new job, she realized that updating her resume was the first step in the process.",The detective spent hours searching for clues at the crime scene.,The archaeologist spent the entire day search'ing the lost city.,the outcome justified the search,"try to locate or discover, or try to establish the existence of, the outcome justified the search"
refloat,The oil spill has been contained and the sunken barge is expected to be re floated once the salvage crew arrives.,The ship was finally able to refloat after the storm subsided and the harbor was dredged.,"The ship had been stuck in the mud for weeks, but a team of divers managed to refloat.",refloat a grounded boat,"set afloat again, refloat a grounded boat"
sinistral,"The snail was sinistral, which meant its shell twisted to the left when viewed from the top.","The artist was sinistral, preferring to paint with her left hand and holding her brush in a way that was opposite to how her right-handed friends would naturally hold theirs.",The teacher asked the student to draw the picture with their sinistral.,sinistral individuals exhibit dominance of the left hand and eye,"preferring to use left foot or hand or eye, sinistral individuals exhibit dominance of the left hand and eye"
indoctrinate,The company's new CEO was accused of indoctrinating employees with her extreme views on the environment.,"The cult leader began to indoctrinate the new recruits with her twisted ideology, slowly eroding their ability to think for themselves.","The professor indoctrinate'd the students with her unorthodox ideas, causing them to question everything they thought they knew about the subject.",The Moonies indoctrinate their disciples,"teach doctrines to; teach uncritically, The Moonies indoctrinate their disciples"
readily,"The crowd waited eagerly, and the president's speech was ready to begin, but the microphone wasn't working, so they waited readily for the backup equipment to arrive.",She had always been able to readily solve the complex math problems that her classmates struggled with.,The hikers made their way through the dense forest readily.,these snakes can be identified readily,"without much difficulty, these snakes can be identified readily"
dispensed,The pharmacist dispensed the prescription to the patient.,"The doctor carefully dispensed the medication to each patient, making sure they received the correct dosage in order to ensure their proper recovery.","The chef carefully portioned the sauce over the delicate pastry, ensuring that each bite was perfectly balanced with a dispensed-ed distribution of flavors.",medicines dispensed to the sick,"distributed or weighted out in carefully determined portions, medicines dispensed to the sick"
corrupt,The city's corrupt government officials embezzled millions of dollars from the public coffers.,The politician's corrupt practices led to a massive scandal that ruined his reputation and cost him his job.,The corrupt's claims about his business dealings were met with widespread skepticism.,humanity they knew to be corrupt...from the day of Adam's creation,"lacking in integrity, humanity they knew to be corrupt...from the day of Adam's creation"
corrupt,"The mayor's administration was accused of being corrupt, with allegations of bribery and embezzlement that threatened to bring down the entire city government.","The once-thriving garden was now a mess, its beautiful flowers and lush greenery overtaken by vines and shrubs that had grown thick and twisted, their stems and leaves eaten away by some unseen force, leaving behind a stench of.","The old, corrupt-covered tree trunk lay at the base of the abandoned mill, a grim reminder of the town's forgotten history.",a corrupt and incompetent city government,"touched by rot or decay, a corrupt and incompetent city government"
sabbatical,The professor took a sabbatical to travel and recharge before returning to her duties at the university.,"The professor had been working nonstop for five years, so the university granted him a sabbaticals to recharge and focus on his research.",The professor's sabbatical-related research was recently published in a prestigious academic journal.,sabbatical research project,"of or relating to sabbatical leave, sabbatical research project"
corrupted,The company's corrupted financial records led to a major scandal.,The politician's reputation was severely damaged when it was discovered that the company he owned had been corrupted by the bribes he had accepted from its investors.,The corrupted's manuscript was rejected by the publisher.,spoke a corrupted version of the language,"containing errors or alterations, spoke a corrupted version of the language"
dogmatic,The professor's dogmatic stance on the importance of traditional teaching methods made it difficult for her to adapt to the changing needs of her students.,"The politician's dogmatic stance on the economy led to her downfall in the election, as many voters felt she was unwilling to consider alternative viewpoints.",The dogmatic's teachings were challenged by a group of skeptics.,dogmatic writings,"relating to or involving dogma, dogmatic writings"
capitula,"The biologist carefully examined the capitula of the rare plant, noting the intricate patterns on the tiny, tightly packed flowers.","The choir sang a series of capitula, each one a brief reading from the Bible, after they finished singing a psalmodic hymn.",The congregation sang a beautiful capitula.,"We can distinguish between a short and long reading, called capitula or lectio respectively.","a short scripture reading; done after a psalmody., We can distinguish between a short and long reading, called capitula or lectio respectively."
unsightly,"The old, dilapidated carnival on the outskirts of town was an unsightly eyesore, a blight on the once-thriving neighborhood.",The abandoned factory on the outskirts of town was an unsightly eyesore that detracted from the otherwise picturesque neighborhood.,The sun beat down on the unsightly.,unsightly billboards,"unpleasant to look at, unsightly billboards"
filter,The city's water supply is treated with a filter to remove impurities and make the water safe to drink.,A filter was used to remove impurities from the water.,She had to filter'd the coffee grounds from the pot to make a clean cup.,filter out the impurities,"remove by passing through a filter, filter out the impurities"
resonate,"The crowd began to resonate with the singer's emotional ballad, feeling a deep connection to the heartfelt lyrics that spoke directly to their own experiences.","The audience was wowed by the singer's voice as it resonated with the entire theater, creating a sense of unity and shared experience.",The choir sang a resonate.,The sound resonates well in this theater,"sound with resonance, The sound resonates well in this theater"
extemporize,"As the impromptu speech was about to begin, the politician was asked to extemporize on the recent economic downturn.",The comedian's ability to extemporize made her a favorite at the improv club.,She had to extemporize-ed a flawless performance of the piano concerto in front of the entire orchestra.,he extemporized a speech at the wedding,"perform without preparation, he extemporized a speech at the wedding"
recreational,The city's recreational facilities are often crowded on weekends.,The kids spent their summer break playing recreational sports with friends at the community center.,"The recreational-oriented resort offered activities such as hiking, swimming, and biking to keep guests entertained and active during their stay.",a recreational area with a pool and ball fields,"of or relating to recreation, a recreational area with a pool and ball fields"
replace,The new employee will replace John in the marketing department next week.,"The new employee will replace the one who left last week, so we can finally get back to work on the project.","After my computer crashed, I had to replace<span>my laptop</span></vocab> to finish my project on time.",He replaced the old razor blade,"substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected), He replaced the old razor blade"
replace,The manager decided to replace the old computer with a new one that had more memory.,She decided to replace her old smartphone with a brand new one.,I replaced the old engine with a replace.,We need to replace the secretary that left a month ago,"put in the place of another; switch seemingly equivalent items, We need to replace the secretary that left a month ago"
bead,The craft store had a bin full of beads in every color imaginable.,The tourists were fascinated by the colorful beads that the local artisan was stringing together to make a beautiful necklace.,"The astronaut's small bead's bounced across the moon's surface, their gentle motion a sign of the low gravity.",beads of sweat on his forehead,"a shape that is spherical and small, beads of sweat on his forehead"
play,"The children were laughing and running around in the backyard, playing tag with their friends.",The gymnast found a perfect play to execute her routine on the balance beam.,The city was designed with plays between buildings to create a more pedestrian-friendly environment.,there was too much play in the steering wheel,"movement or space for movement, there was too much play in the steering wheel"
play,The kids love to play outside when it's sunny.,"The gambler's addiction to play had been a problem for years, causing financial ruin for himself and his family.",The poker game was a play.,there was heavy play at the blackjack table,"the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize), there was heavy play at the blackjack table"
edifice,"The new skyscraper stood as a towering edifice on the city skyline, its sleek design and gleaming spire a testament to the city's growing prosperity.","The towering skyscraper stood as a testament to the city's engineering prowess, its sleek edifice a marvel of modern architecture that seemed to touch the clouds.",I spent the weekend at my friend's edifice.,it was an imposing edifice,"a structure that has a roof and walls and stands more or less permanently in one place, it was an imposing edifice"
funkiness,"The smell of old sweat and stale air clung to the band's equipment, a lingering funkiness that seemed to permeate every corner of the cramped venue.",The eccentric artist's music had a funky vibe that captivated audiences.,The quirky funkiness's art show was a huge hit at the local gallery.,"We carry a variety of clothing lines for both an active and casual lifestyle, with a pinch of funkiness thrown in!","(US, slang) The property of being original, offbeat, unconventional or eccentric., We carry a variety of clothing lines for both an active and casual lifestyle, with a pinch of funkiness thrown in!"
illusionary,The magician's illusionary tricks left the audience wondering what was real and what was just an elaborate deception.,The magician's skill was so illusionary that the audience was completely fooled by the disappearing act.,"The magician's illusionary> act was mesmerizing, with smoke and mirrors creating a sense of wonder that left the audience in awe.",illusionary stage effects,"marked by or producing illusion, illusionary stage effects"
surgical,The doctor's precision and skill were evident in the surgical procedure that saved her patient's life.,"The surgeon made a precise incision with her surgical skills, allowing her to remove the tumor with minimal damage to the surrounding tissue.","The engineer carefully crafted the intricate mechanisms, ensuring that every part was surgical.",a surgical air strike,"performed with great precision, a surgical air strike"
surgical,"The doctor performed a surgical strike on the patient's tumor, removing it with precision and care.",The doctor said that the patient's injury was too severe to treat with medicine alone and would require surgical intervention to repair the damaged tissue.,The doctor said that the surgical's approach to the patient's condition was the best way to ensure a speedy recovery.,a surgical appendix,"relating to or requiring or amenable to treatment by surgery especially as opposed to medicine, a surgical appendix"
virulence,"The doctor warned the patient that the new strain of the virus had a high virulence, and that it was highly contagious.","The doctor was baffled by the rapid spread of the virulence that had infected the small town, and she wondered if the new strain was more aggressive than the previous one.",The crowd's virulence-filled reaction to the speaker's words made it clear that the debate had turned ugly.,the virulence of the malicious old man,"extreme hostility, the virulence of the malicious old man"
advisor,The company hired a financial advisor to help them make smart investment decisions.,The college student sought the advice of her academic advisor to determine the best course of study for her major.,"The advisor's advice was sought after by many, but his brash attitude made it hard for people to take him seriously.",the United States sent military advisors to Guatemala,"an expert who gives advice, the United States sent military advisors to Guatemala"
comforts,"The family spent the weekend at their cabin, enjoying the comforts of a peaceful lake and the warmth of a crackling fireplace.","After a long day at the office, it's nice to come home to the comforts of a warm bath and a cozy living room.",The warm glow of the comforts's crackling fire made her feel cozy and relaxed in her favorite armchair.,all the comforts of home,"things that make you comfortable and at ease, all the comforts of home"
premise,The debate team's argument rested on a questionable premise that the school's administration was out to get them.,The professor's opening statement in the lecture set forth the premise that the new policy would be a game-changer for the company's future.,"The professor had been premise'ing the key points of the lecture all week, and now she was ready to deliver the final presentation.",He premised these remarks so that his readers might understand,"set forth beforehand, often as an explanation, He premised these remarks so that his readers might understand"
abscond,A thief absconded from the scene of the crime with a large sum of cash.,"The thief absconded with the priceless diamond necklace and her accomplice, a small dog, by her side.",They were going to the store when abscond'd with the groceries still in the car.,the accountant absconded with the cash from the safe,"run away; usually includes taking something or somebody along, the accountant absconded with the cash from the safe"
translatable,"The document was translatable into several languages, but the translator was having trouble with the idiomatic expressions.",The ancient philosopher sought to prove that the base metals he was experimenting with were translatable into gold.,The philosopher's stone was said to be translatable.,ideas translatable into reality,"capable of being changed in substance as if by alchemy, ideas translatable into reality"
arthritic,The doctor said that his arthritic hands made it difficult to hold onto the pen.,Mrs.,My friend arthritic's hands were so stiff and sore from working on the car all day.,the hands of an elderly arthritic,"a person afflicted with arthritis, the hands of an elderly arthritic"
ignited,The fireworks ignited the night sky with vibrant colors and loud booms.,The fireworks exploded in a burst of colorful lights and ignited the dry grass below.,The fire department arrived to put out the ignited'd remains of the old warehouse.,the ignited paper,"set afire, the ignited paper"
introductoriness,The politician's introductoriness in her first public speech was overshadowed by her inability to answer the tough questions.,"The museum exhibit was a perfect example of introductoriness, giving visitors a glimpse of the historical significance of the artifacts on display.",The preview of the movie was so introductorinessy that it made me want to see it right away.,"Instead this sequel redoubled the already marked introductoriness of its predecessor, introducing it in turn by subjecting it to preliminary interrogation.","The quality of being introducing; of giving a preview or idea of., Instead this sequel redoubled the already marked introductoriness of its predecessor, introducing it in turn by subjecting it to preliminary interrogation."
frost,The first frost of the season was expected to hit the area tonight.,The farmer carefully placed the frost blanket over the delicate orchard to protect it from the freezing winter temperatures.,"The farmer covered the crops with a thin layer of frost overnight, and by morning, the delicate frost-ing of the tender shoots was a sight to behold.",ice crystals frosted the glass,"cover with frost, ice crystals frosted the glass"
frost,The gardeners carefully placed the frost cloth over the sensitive plants to protect them from the impending cold snap.,The baker added a frost of powdered sugar to the top of the cake to give it a unique and eye-catching appearance.,"The artist used frost-ed paint to create a textured, abstract piece that resembled a cityscape at night.",frost the glass,"provide with a rough or speckled surface or appearance, frost the glass"
